week_start,sku,region,forecast_qty,consumed_qty
2025-09-01,P1,SE,24885,24980
2025-09-01,P1,S,11060,9350
2025-09-01,P1,CO,5530,4705
2025-09-01,P1,NE,11060,10285
2025-09-01,P1,N,2765,1206
2025-09-01,P2,SE,15553,15552
2025-09-01,P2,S,6912,6420
2025-09-01,P2,CO,3456,3228
2025-09-01,P2,NE,6912,6888
2025-09-01,P2,N,1728,806
2025-09-01,P3,SE,4147,3540
2025-09-01,P3,S,1843,1368
2025-09-01,P3,CO,922,522
2025-09-01,P3,NE,1843,1368
2025-09-01,P3,N,461,111
2025-09-01,P4,SE,8710,7764
2025-09-01,P4,S,3871,3321
2025-09-01,P4,CO,1935,1227
2025-09-01,P4,NE,3871,2940
2025-09-01,P4,N,968,210
2025-09-01,P5,SE,2592,1728
2025-09-01,P5,S,1152,203
2025-09-01,P5,CO,576,191
2025-09-01,P5,NE,1152,870
2025-09-01,P5,N,288,18
2025-09-08,P1,SE,24885,24057
2025-09-08,P1,S,11060,11003
2025-09-08,P1,CO,5530,6515
2025-09-08,P1,NE,11060,10979
2025-09-08,P1,N,2765,1393
2025-09-08,P2,SE,15553,17862
2025-09-08,P2,S,6912,7314
2025-09-08,P2,CO,3456,3186
2025-09-08,P2,NE,6912,7930
2025-09-08,P2,N,1728,924
2025-09-08,P3,SE,4147,4326
2025-09-08,P3,S,1843,2154
2025-09-08,P3,CO,922,840
2025-09-08,P3,NE,1843,1755
2025-09-08,P3,N,461,129
2025-09-08,P4,SE,8710,8151
2025-09-08,P4,S,3871,4455
2025-09-08,P4,CO,1935,1701
2025-09-08,P4,NE,3871,4830
2025-09-08,P4,N,968,516
2025-09-08,P5,SE,2592,3377
2025-09-08,P5,S,1152,1334
2025-09-08,P5,CO,576,167
2025-09-08,P5,NE,1152,697
2025-09-08,P5,N,288,18
2025-09-15,P1,SE,24885,25867
2025-09-15,P1,S,11060,11160
2025-09-15,P1,CO,5530,6322
2025-09-15,P1,NE,11060,11166
2025-09-15,P1,N,2765,1381
2025-09-15,P2,SE,15553,17820
2025-09-15,P2,S,6912,7308
2025-09-15,P2,CO,3456,3062
2025-09-15,P2,NE,6912,6254
2025-09-15,P2,N,1728,1060
2025-09-15,P3,SE,4147,4824
2025-09-15,P3,S,1843,1767
2025-09-15,P3,CO,922,915
2025-09-15,P3,NE,1843,2136
2025-09-15,P3,N,461,417
2025-09-15,P4,SE,8710,8868
2025-09-15,P4,S,3871,3615
2025-09-15,P4,CO,1935,1926
2025-09-15,P4,NE,3871,3714
2025-09-15,P4,N,968,510
2025-09-15,P5,SE,2592,1692
2025-09-15,P5,S,1152,864
2025-09-15,P5,CO,576,1179
2025-09-15,P5,NE,1152,828
2025-09-15,P5,N,288,149
2025-09-22,P1,SE,24885,25463
2025-09-22,P1,S,11060,10973
2025-09-22,P1,CO,5530,4675
2025-09-22,P1,NE,11060,10979
2025-09-22,P1,N,2765,1206
2025-09-22,P2,SE,15553,15528
2025-09-22,P2,S,6912,6846
2025-09-22,P2,CO,3456,4092
2025-09-22,P2,NE,6912,7308
2025-09-22,P2,N,1728,918
2025-09-22,P3,SE,4147,3522
2025-09-22,P3,S,1843,2136
2025-09-22,P3,CO,922,846
2025-09-22,P3,NE,1843,1779
2025-09-22,P3,N,461,192
2025-09-22,P4,SE,8710,8157
2025-09-22,P4,S,3871,2910
2025-09-22,P4,CO,1935,2100
2025-09-22,P4,NE,3871,4425
2025-09-22,P4,N,968,897
2025-09-22,P5,SE,2592,2192
2025-09-22,P5,S,1152,1352
2025-09-22,P5,CO,576,703
2025-09-22,P5,NE,1152,1352
2025-09-22,P5,N,288,24
2025-09-29,P1,SE,24885,22386
2025-09-29,P1,S,11072,11178
2025-09-29,P1,CO,5542,5568
2025-09-29,P1,NE,11108,10267
2025-09-29,P1,N,2772,2093
2025-09-29,P2,SE,15553,16008
2025-09-29,P2,S,6920,7332
2025-09-29,P2,CO,3464,3216
2025-09-29,P2,NE,6942,6378
2025-09-29,P2,N,1733,930
2025-09-29,P3,SE,4147,3405
2025-09-29,P3,S,1845,1467
2025-09-29,P3,CO,924,1314
2025-09-29,P3,NE,1851,1761
2025-09-29,P3,N,462,423
2025-09-29,P4,SE,11397,12060
2025-09-29,P4,S,5072,5634
2025-09-29,P4,CO,2539,2430
2025-09-29,P4,NE,5092,5559
2025-09-29,P4,N,1270,597
2025-09-29,P5,SE,2592,2704
2025-09-29,P5,S,1153,840
2025-09-29,P5,CO,577,173
2025-09-29,P5,NE,1157,1352
2025-09-29,P5,N,289,161
2025-10-06,P1,SE,24885,24745
2025-10-06,P1,S,11082,11715
2025-10-06,P1,CO,5552,5622
2025-10-06,P1,NE,11148,11896
2025-10-06,P1,N,2779,1387
2025-10-06,P2,SE,15553,14776
2025-10-06,P2,S,6926,6852
2025-10-06,P2,CO,3470,5490
2025-10-06,P2,NE,6968,7178
2025-10-06,P2,N,1737,1262
2025-10-06,P3,SE,4147,4020
2025-10-06,P3,S,1847,2049
2025-10-06,P3,CO,925,846
2025-10-06,P3,NE,1858,2148
2025-10-06,P3,N,463,123
2025-10-06,P4,SE,13687,15018
2025-10-06,P4,S,6095,6057
2025-10-06,P4,CO,3054,2805
2025-10-06,P4,NE,6132,5022
2025-10-06,P4,N,1528,621
2025-10-06,P5,SE,2592,1662
2025-10-06,P5,S,1154,816
2025-10-06,P5,CO,578,810
2025-10-06,P5,NE,1161,352
2025-10-06,P5,N,289,661
2025-10-13,P1,SE,24885,25873
2025-10-13,P1,S,11082,11190
2025-10-13,P1,CO,5552,6292
2025-10-13,P1,NE,11148,11196
2025-10-13,P1,N,2779,1411
2025-10-13,P2,SE,15553,14142
2025-10-13,P2,S,6926,6118
2025-10-13,P2,CO,3470,6846
2025-10-13,P2,NE,6968,8202
2025-10-13,P2,N,1737,912
2025-10-13,P3,SE,4147,4221
2025-10-13,P3,S,1847,1749
2025-10-13,P3,CO,925,1227
2025-10-13,P3,NE,1858,2067
2025-10-13,P3,N,463,117
2025-10-13,P4,SE,13687,15006
2025-10-13,P4,S,6095,5721
2025-10-13,P4,CO,3054,2928
2025-10-13,P4,NE,6132,6450
2025-10-13,P4,N,1528,609
2025-10-13,P5,SE,2592,2383
2025-10-13,P5,S,1154,1525
2025-10-13,P5,CO,578,673
2025-10-13,P5,NE,1161,1489
2025-10-13,P5,N,289,24
2025-10-20,P1,SE,24885,23852
2025-10-20,P1,S,11082,10931
2025-10-20,P1,CO,5552,4880
2025-10-20,P1,NE,11148,11709
2025-10-20,P1,N,2779,2093
2025-10-20,P2,SE,15553,14794
2025-10-20,P2,S,6926,8048
2025-10-20,P2,CO,3470,5490
2025-10-20,P2,NE,6968,7326
2025-10-20,P2,N,1737,924
2025-10-20,P3,SE,4147,4425
2025-10-20,P3,S,1847,1761
2025-10-20,P3,CO,925,534
2025-10-20,P3,NE,1858,1848
2025-10-20,P3,N,463,504
2025-10-20,P4,SE,13687,14271
2025-10-20,P4,S,6095,7653
2025-10-20,P4,CO,3054,3627
2025-10-20,P4,NE,6132,6432
2025-10-20,P4,N,1528,1107
2025-10-20,P5,SE,2592,3032
2025-10-20,P5,S,1154,1209
2025-10-20,P5,CO,578,173
2025-10-20,P5,NE,1161,1358
2025-10-20,P5,N,289,155
2025-10-27,P1,SE,24885,23979
2025-10-27,P1,S,11082,10991
2025-10-27,P1,CO,5552,6304
2025-10-27,P1,NE,11148,12837
2025-10-27,P1,N,2779,1393
2025-10-27,P2,SE,15553,16014
2025-10-27,P2,S,6926,6692
2025-10-27,P2,CO,3470,3204
2025-10-27,P2,NE,6968,7338
2025-10-27,P2,N,1737,936
2025-10-27,P3,SE,4147,4227
2025-10-27,P3,S,1847,1761
2025-10-27,P3,CO,925,915
2025-10-27,P3,NE,1858,2160
2025-10-27,P3,N,463,117
2025-10-27,P4,SE,13687,13392
2025-10-27,P4,S,6095,6462
2025-10-27,P4,CO,3054,3228
2025-10-27,P4,NE,6132,6549
2025-10-27,P4,N,1528,1008
2025-10-27,P5,SE,2592,3407
2025-10-27,P5,S,1154,840
2025-10-27,P5,CO,578,1173
2025-10-27,P5,NE,1161,2025
2025-10-27,P5,N,289,24
2025-11-03,P1,SE,28618,28467
2025-11-03,P1,S,12770,13072
2025-11-03,P1,CO,6410,6322
2025-11-03,P1,NE,12923,13971
2025-11-03,P1,N,3212,1411
2025-11-03,P2,SE,17108,17832
2025-11-03,P2,S,7634,7498
2025-11-03,P2,CO,3832,4252
2025-11-03,P2,NE,7726,7586
2025-11-03,P2,N,1920,930
2025-11-03,P3,SE,4977,4020
2025-11-03,P3,S,2221,2259
2025-11-03,P3,CO,1115,927
2025-11-03,P3,NE,2248,2190
2025-11-03,P3,N,559,510
2025-11-03,P4,SE,18664,18621
2025-11-03,P4,S,8328,7023
2025-11-03,P4,CO,4181,4020
2025-11-03,P4,NE,8428,6837
2025-11-03,P4,N,2095,1014
2025-11-03,P5,SE,2592,2841
2025-11-03,P5,S,1157,1519
2025-11-03,P5,CO,581,173
2025-11-03,P5,NE,1171,1525
2025-11-03,P5,N,291,143
2025-11-10,P1,SE,28618,28714
2025-11-10,P1,S,12770,25867
2025-11-10,P1,CO,6410,6298
2025-11-10,P1,NE,12923,12849
2025-11-10,P1,N,3212,2298
2025-11-10,P2,SE,17108,18590
2025-11-10,P2,S,7634,7918
2025-11-10,P2,CO,3832,3660
2025-11-10,P2,NE,7726,7930
2025-11-10,P2,N,1920,1504
2025-11-10,P3,SE,4977,4842
2025-11-10,P3,S,2221,2484
2025-11-10,P3,CO,1115,1227
2025-11-10,P3,NE,2248,2148
2025-11-10,P3,N,559,129
2025-11-10,P4,SE,18664,18726
2025-11-10,P4,S,8328,9978
2025-11-10,P4,CO,4181,4026
2025-11-10,P4,NE,8428,8151
2025-11-10,P4,N,2095,1212
2025-11-10,P5,SE,2592,2377
2025-11-10,P5,S,1157,1328
2025-11-10,P5,CO,581,36
2025-11-10,P5,NE,1171,185
2025-11-10,P5,N,291,36
2025-11-17,P1,SE,23123,23822
2025-11-17,P1,S,10318,20323
2025-11-17,P1,CO,5180,4669
2025-11-17,P1,NE,10442,12101
2025-11-17,P1,N,2595,1399
2025-11-17,P2,SE,13824,12916
2025-11-17,P2,S,6168,6260
2025-11-17,P2,CO,3097,3648
2025-11-17,P2,NE,6242,6728
2025-11-17,P2,N,1551,794
2025-11-17,P3,SE,4021,4332
2025-11-17,P3,S,1794,1755
2025-11-17,P3,CO,901,846
2025-11-17,P3,NE,1816,1755
2025-11-17,P3,N,451,417
2025-11-17,P4,SE,15080,17319
2025-11-17,P4,S,6729,7851
2025-11-17,P4,CO,3378,3615
2025-11-17,P4,NE,6810,6063
2025-11-17,P4,N,1692,1119
2025-11-17,P5,SE,2094,1531
2025-11-17,P5,S,935,346
2025-11-17,P5,CO,469,1173
2025-11-17,P5,NE,946,1358
2025-11-17,P5,N,235,643
2025-11-24,P1,SE,28618,25891
2025-11-24,P1,S,12770,13760
2025-11-24,P1,CO,6410,6515
2025-11-24,P1,NE,12923,13790
2025-11-24,P1,N,3212,2117
2025-11-24,P2,SE,17108,18318
2025-11-24,P2,S,7634,8492
2025-11-24,P2,CO,3832,3832
2025-11-24,P2,NE,7726,7918
2025-11-24,P2,N,1920,1060
2025-11-24,P3,SE,4977,5172
2025-11-24,P3,S,2221,2259
2025-11-24,P3,CO,1115,921
2025-11-24,P3,NE,2248,2577
2025-11-24,P3,N,559,210
2025-11-24,P4,SE,18664,22653
2025-11-24,P4,S,8328,8457
2025-11-24,P4,CO,4181,3327
2025-11-24,P4,NE,8428,10164
2025-11-24,P4,N,2095,1611
2025-11-24,P5,SE,2592,2841
2025-11-24,P5,S,1157,1197
2025-11-24,P5,CO,581,179
2025-11-24,P5,NE,1171,1340
2025-11-24,P5,N,291,30
2025-12-01,P1,SE,31106,34970
2025-12-01,P1,S,13908,14502
2025-12-01,P1,CO,6996,7462
2025-12-01,P1,NE,14159,14701
2025-12-01,P1,N,3508,1640
2025-12-01,P2,SE,18664,18708
2025-12-01,P2,S,8345,8712
2025-12-01,P2,CO,4197,4270
2025-12-01,P2,NE,8496,8664
