date,region,is_business_day,holiday_name
2025-09-01,SE,1,
2025-09-01,S,1,
2025-09-01,CO,1,
2025-09-01,NE,1,
2025-09-01,N,1,
2025-09-02,SE,1,
2025-09-02,S,1,
2025-09-02,CO,1,
2025-09-02,NE,1,
2025-09-02,N,1,
2025-09-03,SE,1,
2025-09-03,S,1,
2025-09-03,CO,1,
2025-09-03,NE,1,
2025-09-03,N,1,
2025-09-04,SE,1,
2025-09-04,S,1,
2025-09-04,CO,1,
2025-09-04,NE,1,
2025-09-04,N,1,
2025-09-05,SE,1,
2025-09-05,S,1,
2025-09-05,CO,1,
2025-09-05,NE,1,
2025-09-05,N,1,
2025-09-06,SE,0,
2025-09-06,S,0,
2025-09-06,CO,0,
2025-09-06,NE,0,
2025-09-06,N,0,
2025-09-07,SE,0,Independência
2025-09-07,S,0,Independência
2025-09-07,CO,0,Independência
2025-09-07,NE,0,Independência
2025-09-07,N,0,Independência
2025-09-08,SE,1,
2025-09-08,S,1,
2025-09-08,CO,1,
2025-09-08,NE,1,
2025-09-08,N,1,
2025-09-09,SE,1,
2025-09-09,S,1,
2025-09-09,CO,1,
2025-09-09,NE,1,
2025-09-09,N,1,
2025-09-10,SE,1,
2025-09-10,S,1,
2025-09-10,CO,1,
2025-09-10,NE,1,
2025-09-10,N,1,
2025-09-11,SE,1,
2025-09-11,S,1,
2025-09-11,CO,1,
2025-09-11,NE,1,
2025-09-11,N,1,
2025-09-12,SE,1,
2025-09-12,S,1,
2025-09-12,CO,1,
2025-09-12,NE,1,
2025-09-12,N,1,
2025-09-13,SE,0,
2025-09-13,S,0,
2025-09-13,CO,0,
2025-09-13,NE,0,
2025-09-13,N,0,
2025-09-14,SE,0,
2025-09-14,S,0,
2025-09-14,CO,0,
2025-09-14,NE,0,
2025-09-14,N,0,
2025-09-15,SE,1,
2025-09-15,S,1,
2025-09-15,CO,1,
2025-09-15,NE,1,
2025-09-15,N,1,
2025-09-16,SE,1,
2025-09-16,S,1,
2025-09-16,CO,1,
2025-09-16,NE,1,
2025-09-16,N,1,
2025-09-17,SE,1,
2025-09-17,S,1,
2025-09-17,CO,1,
2025-09-17,NE,1,
2025-09-17,N,1,
2025-09-18,SE,1,
2025-09-18,S,1,
2025-09-18,CO,1,
2025-09-18,NE,1,
2025-09-18,N,1,
2025-09-19,SE,1,
2025-09-19,S,1,
2025-09-19,CO,1,
2025-09-19,NE,1,
2025-09-19,N,1,
2025-09-20,SE,0,
2025-09-20,S,0,
2025-09-20,CO,0,
2025-09-20,NE,0,
2025-09-20,N,0,
2025-09-21,SE,0,
2025-09-21,S,0,
2025-09-21,CO,0,
2025-09-21,NE,0,
2025-09-21,N,0,
2025-09-22,SE,1,
2025-09-22,S,1,
2025-09-22,CO,1,
2025-09-22,NE,1,
2025-09-22,N,1,
2025-09-23,SE,1,
2025-09-23,S,1,
2025-09-23,CO,1,
2025-09-23,NE,1,
2025-09-23,N,1,
2025-09-24,SE,1,
2025-09-24,S,1,
2025-09-24,CO,1,
2025-09-24,NE,1,
2025-09-24,N,1,
2025-09-25,SE,1,
2025-09-25,S,1,
2025-09-25,CO,1,
2025-09-25,NE,1,
2025-09-25,N,1,
2025-09-26,SE,1,
2025-09-26,S,1,
2025-09-26,CO,1,
2025-09-26,NE,1,
2025-09-26,N,1,
2025-09-27,SE,0,
2025-09-27,S,0,
2025-09-27,CO,0,
2025-09-27,NE,0,
2025-09-27,N,0,
2025-09-28,SE,0,
2025-09-28,S,0,
2025-09-28,CO,0,
2025-09-28,NE,0,
2025-09-28,N,0,
2025-09-29,SE,1,
2025-09-29,S,1,
2025-09-29,CO,1,
2025-09-29,NE,1,
2025-09-29,N,1,
2025-09-30,SE,1,
2025-09-30,S,1,
2025-09-30,CO,1,
2025-09-30,NE,1,
2025-09-30,N,1,
2025-10-01,SE,1,
2025-10-01,S,1,
2025-10-01,CO,1,
2025-10-01,NE,1,
2025-10-01,N,1,
2025-10-02,SE,1,
2025-10-02,S,1,
2025-10-02,CO,1,
2025-10-02,NE,1,
2025-10-02,N,1,
2025-10-03,SE,1,
2025-10-03,S,1,
2025-10-03,CO,1,
2025-10-03,NE,1,
2025-10-03,N,1,
2025-10-04,SE,0,
2025-10-04,S,0,
2025-10-04,CO,0,
2025-10-04,NE,0,
2025-10-04,N,0,
2025-10-05,SE,0,
2025-10-05,S,0,
2025-10-05,CO,0,
2025-10-05,NE,0,
2025-10-05,N,0,
2025-10-06,SE,1,
2025-10-06,S,1,
2025-10-06,CO,1,
2025-10-06,NE,1,
2025-10-06,N,1,
2025-10-07,SE,1,
2025-10-07,S,1,
2025-10-07,CO,1,
2025-10-07,NE,1,
2025-10-07,N,1,
2025-10-08,SE,1,
2025-10-08,S,1,
2025-10-08,CO,1,
2025-10-08,NE,1,
2025-10-08,N,1,
2025-10-09,SE,1,
2025-10-09,S,1,
2025-10-09,CO,1,
2025-10-09,NE,1,
2025-10-09,N,1,
2025-10-10,SE,1,
2025-10-10,S,1,
2025-10-10,CO,1,
2025-10-10,NE,1,
2025-10-10,N,1,
2025-10-11,SE,0,
2025-10-11,S,0,
2025-10-11,CO,0,
2025-10-11,NE,0,
2025-10-11,N,0,
2025-10-12,SE,0,N. Sra. Aparecida
2025-10-12,S,0,N. Sra. Aparecida
2025-10-12,CO,0,N. Sra. Aparecida
2025-10-12,NE,0,N. Sra. Aparecida
2025-10-12,N,0,N. Sra. Aparecida
2025-10-13,SE,1,
2025-10-13,S,1,
2025-10-13,CO,1,
2025-10-13,NE,1,
2025-10-13,N,1,
2025-10-14,SE,1,
2025-10-14,S,1,
2025-10-14,CO,1,
2025-10-14,NE,1,
2025-10-14,N,1,
2025-10-15,SE,1,
2025-10-15,S,1,
2025-10-15,CO,1,
2025-10-15,NE,1,
2025-10-15,N,1,
2025-10-16,SE,1,
2025-10-16,S,1,
2025-10-16,CO,1,
2025-10-16,NE,1,
2025-10-16,N,1,
2025-10-17,SE,1,
2025-10-17,S,1,
2025-10-17,CO,1,
2025-10-17,NE,1,
2025-10-17,N,1,
2025-10-18,SE,0,
2025-10-18,S,0,
2025-10-18,CO,0,
2025-10-18,NE,0,
2025-10-18,N,0,
2025-10-19,SE,0,
2025-10-19,S,0,
2025-10-19,CO,0,
2025-10-19,NE,0,
2025-10-19,N,0,
2025-10-20,SE,1,
2025-10-20,S,1,
2025-10-20,CO,1,
2025-10-20,NE,1,
2025-10-20,N,1,
2025-10-21,SE,1,
2025-10-21,S,1,
2025-10-21,CO,1,
2025-10-21,NE,1,
2025-10-21,N,1,
2025-10-22,SE,1,
2025-10-22,S,1,
2025-10-22,CO,1,
2025-10-22,NE,1,
2025-10-22,N,1,
2025-10-23,SE,1,
2025-10-23,S,1,
2025-10-23,CO,1,
2025-10-23,NE,1,
2025-10-23,N,1,
2025-10-24,SE,1,
2025-10-24,S,1,
2025-10-24,CO,1,
2025-10-24,NE,1,
2025-10-24,N,1,
2025-10-25,SE,0,
2025-10-25,S,0,
2025-10-25,CO,0,
2025-10-25,NE,0,
2025-10-25,N,0,
2025-10-26,SE,0,
2025-10-26,S,0,
2025-10-26,CO,0,
2025-10-26,NE,0,
2025-10-26,N,0,
2025-10-27,SE,1,
2025-10-27,S,1,
2025-10-27,CO,1,
2025-10-27,NE,1,
2025-10-27,N,1,
2025-10-28,SE,1,
2025-10-28,S,1,
2025-10-28,CO,1,
2025-10-28,NE,1,
2025-10-28,N,1,
2025-10-29,SE,1,
2025-10-29,S,1,
2025-10-29,CO,1,
2025-10-29,NE,1,
2025-10-29,N,1,
2025-10-30,SE,1,
2025-10-30,S,1,
2025-10-30,CO,1,
2025-10-30,NE,1,
2025-10-30,N,1,
2025-10-31,SE,1,
2025-10-31,S,1,
2025-10-31,CO,1,
2025-10-31,NE,1,
2025-10-31,N,1,
2025-11-01,SE,0,
2025-11-01,S,0,
2025-11-01,CO,0,
2025-11-01,NE,0,
2025-11-01,N,0,
2025-11-02,SE,0,Finados
2025-11-02,S,0,Finados
2025-11-02,CO,0,Finados
2025-11-02,NE,0,Finados
2025-11-02,N,0,Finados
2025-11-03,SE,1,
2025-11-03,S,1,
2025-11-03,CO,1,
2025-11-03,NE,1,
2025-11-03,N,1,
2025-11-04,SE,1,
