receipt_id,plant_id,dc_id,sku,qty,order_date,eta_date,confirmed
RCP-000001,PL-01,CD-SP,P4,3900,2025-09-01,2025-09-10,1
RCP-000002,PL-01,CD-SP,P3,1200,2025-09-01,2025-09-04,1
RCP-000003,PL-01,CD-PR,P3,1200,2025-09-01,2025-09-05,1
RCP-000004,PL-01,CD-GO,P1,2800,2025-09-01,2025-09-06,1
RCP-000005,PL-01,CD-PE,P3,1200,2025-09-01,2025-09-08,1
RCP-000006,PL-02,CD-PE,P5,500,2025-09-01,2025-09-04,1
RCP-000007,PL-01,CD-PE,P4,1500,2025-09-01,2025-09-08,1
RCP-000008,PL-01,CD-SP,P4,9600,2025-09-08,2025-09-11,1
RCP-000009,PL-01,CD-SP,P1,24500,2025-09-08,2025-09-11,1
RCP-000010,PL-01,CD-SP,P2,13950,2025-09-08,2025-09-11,1
RCP-000011,PL-01,CD-SP,P3,3300,2025-09-08,2025-09-11,1
RCP-000012,PL-02,CD-SP,P5,1500,2025-09-08,2025-09-14,1
RCP-000013,PL-01,CD-GO,P4,2700,2025-09-08,2025-09-13,1
RCP-000014,PL-01,CD-PR,P4,3300,2025-09-08,2025-09-12,1
RCP-000015,PL-01,CD-GO,P1,5600,2025-09-08,2025-09-13,1
RCP-000016,PL-01,CD-PR,P3,1200,2025-09-08,2025-09-12,1
RCP-000017,PL-01,CD-PR,P2,2700,2025-09-08,2025-09-12,1
RCP-000018,PL-01,CD-PR,P1,4200,2025-09-08,2025-09-12,1
RCP-000019,PL-01,CD-PE,P4,4500,2025-09-08,2025-09-15,1
RCP-000020,PL-02,CD-PE,P5,1000,2025-09-08,2025-09-11,1
RCP-000021,PL-01,CD-PE,P3,1500,2025-09-08,2025-09-15,1
RCP-000022,PL-02,CD-PE,P2,3600,2025-09-08,2025-09-11,1
RCP-000023,PL-02,CD-SP,P5,3500,2025-09-15,2025-09-21,1
RCP-000024,PL-01,CD-SP,P2,15300,2025-09-15,2025-09-18,1
RCP-000025,PL-01,CD-SP,P4,12000,2025-09-15,2025-09-18,1
