window,opening_date,dc_id,sku,on_hand
public,2026-08-31,CD-SP,P1,19115
public,2026-08-31,CD-SP,P2,12678
public,2026-08-31,CD-SP,P3,581
public,2026-08-31,CD-SP,P4,6054
public,2026-08-31,CD-SP,P5,1558
public,2026-08-31,CD-PR,P1,21060
public,2026-08-31,CD-PR,P2,8990
public,2026-08-31,CD-PR,P3,2195
public,2026-08-31,CD-PR,P4,846
public,2026-08-31,CD-PR,P5,1455
public,2026-08-31,CD-GO,P1,15928
public,2026-08-31,CD-GO,P2,11312
public,2026-08-31,CD-GO,P3,2360
public,2026-08-31,CD-GO,P4,4167
public,2026-08-31,CD-GO,P5,1768
public,2026-08-31,CD-PE,P1,26835
public,2026-08-31,CD-PE,P2,14504
public,2026-08-31,CD-PE,P3,4135
public,2026-08-31,CD-PE,P4,7239
public,2026-08-31,CD-PE,P5,3077
private,2026-09-14,CD-SP,P1,15197
private,2026-09-14,CD-SP,P2,27854
private,2026-09-14,CD-SP,P3,6854
private,2026-09-14,CD-SP,P4,18954
private,2026-09-14,CD-SP,P5,5996
private,2026-09-14,CD-PR,P1,28456
private,2026-09-14,CD-PR,P2,19124
private,2026-09-14,CD-PR,P3,5372
private,2026-09-14,CD-PR,P4,12078
private,2026-09-14,CD-PR,P5,2918
private,2026-09-14,CD-GO,P1,23840
private,2026-09-14,CD-GO,P2,16378
private,2026-09-14,CD-GO,P3,4256
private,2026-09-14,CD-GO,P4,9621
private,2026-09-14,CD-GO,P5,4023
private,2026-09-14,CD-PE,P1,33961
private,2026-09-14,CD-PE,P2,28676
private,2026-09-14,CD-PE,P3,4804
private,2026-09-14,CD-PE,P4,11289
private,2026-09-14,CD-PE,P5,4021
