date,dc_id,sku,on_hand,reserved_ka,in_transit,oldest_batch_date
2025-09-01,CD-SP,P1,70403,7821,0,2025-08-20
2025-09-01,CD-SP,P2,45523,4777,0,2025-08-15
2025-09-01,CD-SP,P3,10799,1215,1200,2025-08-17
2025-09-01,CD-SP,P4,21384,2613,3900,2025-08-20
2025-09-01,CD-SP,P5,7879,704,0,2025-08-15
2025-09-01,CD-PR,P1,48518,3476,0,2025-08-23
2025-09-01,CD-PR,P2,30556,2123,0,2025-08-15
2025-09-01,CD-PR,P3,6200,540,1200,2025-08-20
2025-09-01,CD-PR,P4,16288,1161,0,2025-08-11
2025-09-01,CD-PR,P5,5126,313,0,2025-08-27
2025-09-01,CD-GO,P1,30171,2607,2800,2025-08-09
2025-09-01,CD-GO,P2,23649,1592,0,2025-08-17
2025-09-01,CD-GO,P3,6002,405,0,2025-08-26
2025-09-01,CD-GO,P4,11138,871,0,2025-08-21
2025-09-01,CD-GO,P5,3866,235,0,2025-08-19
2025-09-01,CD-PE,P1,61420,3476,0,2025-08-12
2025-09-01,CD-PE,P2,36886,2123,0,2025-08-16
2025-09-01,CD-PE,P3,7798,540,1200,2025-08-13
2025-09-01,CD-PE,P4,17314,1161,1500,2025-08-23
2025-09-01,CD-PE,P5,5158,313,500,2025-08-20
2025-09-02,CD-SP,P1,66965,7821,0,2025-08-20
2025-09-02,CD-SP,P2,42119,4777,0,2025-08-15
2025-09-02,CD-SP,P3,9878,1215,1200,2025-08-17
2025-09-02,CD-SP,P4,20505,2613,3900,2025-08-20
2025-09-02,CD-SP,P5,7706,704,0,2025-08-15
2025-09-02,CD-PR,P1,46593,3476,0,2025-08-23
2025-09-02,CD-PR,P2,28234,2123,0,2025-08-15
2025-09-02,CD-PR,P3,5771,540,1200,2025-08-20
2025-09-02,CD-PR,P4,15871,1161,0,2025-08-11
2025-09-02,CD-PR,P5,5114,313,0,2025-08-27
2025-09-02,CD-GO,P1,28295,2607,2800,2025-08-09
2025-09-02,CD-GO,P2,22227,1592,0,2025-08-17
2025-09-02,CD-GO,P3,5972,405,0,2025-08-26
2025-09-02,CD-GO,P4,11039,871,0,2025-08-21
2025-09-02,CD-GO,P5,3848,235,0,2025-08-19
2025-09-02,CD-PE,P1,58633,3476,0,2025-08-12
2025-09-02,CD-PE,P2,34618,2123,0,2025-08-16
2025-09-02,CD-PE,P3,7768,540,1200,2025-08-13
2025-09-02,CD-PE,P4,16816,1161,1500,2025-08-23
2025-09-02,CD-PE,P5,5003,313,500,2025-08-20
2025-09-03,CD-SP,P1,61053,7821,0,2025-08-20
2025-09-03,CD-SP,P2,39169,4777,0,2025-08-15
2025-09-03,CD-SP,P3,9137,1215,1200,2025-08-17
2025-09-03,CD-SP,P4,17763,2613,3900,2025-08-20
2025-09-03,CD-SP,P5,6836,704,0,2025-08-15
2025-09-03,CD-PR,P1,43963,3476,0,2025-08-23
2025-09-03,CD-PR,P2,27038,2123,0,2025-08-15
2025-09-03,CD-PR,P3,5453,540,1200,2025-08-20
2025-09-03,CD-PR,P4,14992,1161,0,2025-08-11
2025-09-03,CD-PR,P5,5102,313,0,2025-08-27
2025-09-03,CD-GO,P1,27336,2607,2800,2025-08-09
2025-09-03,CD-GO,P2,21587,1592,0,2025-08-17
2025-09-03,CD-GO,P3,5873,405,0,2025-08-26
2025-09-03,CD-GO,P4,10247,871,0,2025-08-21
2025-09-03,CD-GO,P5,3830,235,0,2025-08-19
2025-09-03,CD-PE,P1,57620,3476,0,2025-08-12
2025-09-03,CD-PE,P2,33256,2123,0,2025-08-16
2025-09-03,CD-PE,P3,6982,540,1200,2025-08-13
2025-09-03,CD-PE,P4,16168,1161,1500,2025-08-23
2025-09-03,CD-PE,P5,4979,313,500,2025-08-20
2025-09-04,CD-SP,P1,54905,7821,0,2025-08-20
2025-09-04,CD-SP,P2,34789,4777,0,2025-08-15
2025-09-04,CD-SP,P3,9440,1215,0,2025-09-04
2025-09-04,CD-SP,P4,15756,2691,3900,2025-08-20
2025-09-04,CD-SP,P5,6193,704,0,2025-08-15
2025-09-04,CD-PR,P1,41236,3476,0,2025-08-23
2025-09-04,CD-PR,P2,25682,2123,0,2025-08-15
2025-09-04,CD-PR,P3,5267,540,1200,2025-08-20
2025-09-04,CD-PR,P4,14182,1196,0,2025-08-11
2025-09-04,CD-PR,P5,4959,313,0,2025-08-27
2025-09-04,CD-GO,P1,26184,2608,2800,2025-08-09
2025-09-04,CD-GO,P2,20415,1593,0,2025-08-17
2025-09-04,CD-GO,P3,5855,405,0,2025-08-26
2025-09-04,CD-GO,P4,10055,897,0,2025-08-21
2025-09-04,CD-GO,P5,3675,235,0,2025-08-19
2025-09-04,CD-PE,P1,54181,3477,0,2025-08-12
2025-09-04,CD-PE,P2,31568,2124,0,2025-08-16
2025-09-04,CD-PE,P3,6640,540,1200,2025-08-13
2025-09-04,CD-PE,P4,15520,1197,1500,2025-08-23
2025-09-04,CD-PE,P5,5455,313,0,2025-09-04
2025-09-05,CD-SP,P1,50134,7821,0,2025-08-20
2025-09-05,CD-SP,P2,33177,4777,0,2025-08-15
2025-09-05,CD-SP,P3,9011,1215,0,2025-09-04
2025-09-05,CD-SP,P4,14916,2762,3900,2025-08-20
2025-09-05,CD-SP,P5,6175,704,0,2025-08-15
2025-09-05,CD-PR,P1,40151,3477,0,2025-08-23
2025-09-05,CD-PR,P2,24870,2124,0,2025-08-15
2025-09-05,CD-PR,P3,6143,540,0,2025-09-05
2025-09-05,CD-PR,P4,13396,1228,0,2025-08-11
2025-09-05,CD-PR,P5,4941,313,0,2025-08-27
2025-09-05,CD-GO,P1,24543,2608,2800,2025-08-09
2025-09-05,CD-GO,P2,19863,1593,0,2025-08-17
2025-09-05,CD-GO,P3,5387,405,0,2025-08-26
2025-09-05,CD-GO,P4,9737,921,0,2025-08-21
2025-09-05,CD-GO,P5,3669,235,0,2025-08-19
2025-09-05,CD-PE,P1,53041,3479,0,2025-08-12
2025-09-05,CD-PE,P2,30810,2125,0,2025-08-16
2025-09-05,CD-PE,P3,6541,540,1200,2025-08-13
