order_id,order_line_id,customer_id,sku,qty,order_ts,requested_date,ship_to_region,channel,segment
ORD-000001,OL-0000001,C-00001,P1,700,2025-09-01T09:41:00,2025-09-03,S,EDI,KA
ORD-000002,OL-0000002,C-00002,P1,2100,2025-09-01T09:19:00,2025-09-03,SE,EDI,KA
ORD-000002,OL-0000003,C-00002,P2,900,2025-09-01T09:19:00,2025-09-03,SE,EDI,KA
ORD-000002,OL-0000004,C-00002,P3,300,2025-09-01T09:19:00,2025-09-03,SE,EDI,KA
ORD-000003,OL-0000005,C-00004,P1,700,2025-09-01T13:33:00,2025-09-04,NE,EDI,KA
ORD-000003,OL-0000006,C-00004,P2,450,2025-09-01T13:33:00,2025-09-04,NE,EDI,KA
ORD-000003,OL-0000007,C-00004,P4,300,2025-09-01T13:33:00,2025-09-04,NE,EDI,KA
ORD-000004,OL-0000008,C-00007,P4,300,2025-09-01T13:35:00,2025-09-03,SE,EDI,KA
ORD-000005,OL-0000009,C-00008,P2,450,2025-09-01T15:57:00,2025-09-03,S,EDI,KA
ORD-000005,OL-0000010,C-00008,P4,300,2025-09-01T15:57:00,2025-09-03,S,EDI,KA
ORD-000006,OL-0000011,C-00012,P2,450,2025-09-01T13:16:00,2025-09-03,SE,EDI,KA
ORD-000007,OL-0000012,C-00027,P2,900,2025-09-01T11:00:00,2025-09-05,SE,EDI,DIS
ORD-000008,OL-0000013,C-00029,P1,700,2025-09-01T09:36:00,2025-09-05,SE,EDI,DIS
ORD-000009,OL-0000014,C-00034,P1,700,2025-09-01T11:51:00,2025-09-05,SE,EDI,DIS
ORD-000010,OL-0000015,C-00037,P1,700,2025-09-01T15:55:00,2025-09-05,NE,EDI,DIS
ORD-000011,OL-0000016,C-00039,P2,450,2025-09-01T19:55:00,2025-09-05,NE,EDI,DIS
ORD-000012,OL-0000017,C-00046,P4,300,2025-09-01T17:18:00,2025-09-05,SE,EDI,DIS
ORD-000013,OL-0000018,C-00103,P3,75,2025-09-01T15:42:00,2025-09-04,S,PORTAL,VAR
ORD-000014,OL-0000019,C-00105,P3,150,2025-09-01T17:15:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000015,OL-0000020,C-00144,P4,75,2025-09-01T17:11:00,2025-09-04,NE,TELEVENDAS,VAR
ORD-000016,OL-0000021,C-00173,P1,175,2025-09-01T15:34:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000017,OL-0000022,C-00198,P4,75,2025-09-01T17:50:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000018,OL-0000023,C-00199,P1,175,2025-09-01T15:26:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000019,OL-0000024,C-00219,P1,175,2025-09-01T13:33:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000020,OL-0000025,C-00229,P3,75,2025-09-01T11:29:00,2025-09-04,NE,TELEVENDAS,VAR
ORD-000021,OL-0000026,C-00233,P2,224,2025-09-01T17:06:00,2025-09-04,S,PORTAL,VAR
ORD-000022,OL-0000027,C-00234,P2,336,2025-09-01T19:00:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000023,OL-0000028,C-00238,P4,75,2025-09-01T09:52:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000024,OL-0000029,C-00386,P1,175,2025-09-01T17:43:00,2025-09-04,S,PORTAL,VAR
ORD-000025,OL-0000030,C-00387,P1,175,2025-09-01T11:00:00,2025-09-04,SE,PORTAL,VAR
ORD-000026,OL-0000031,C-00455,P4,75,2025-09-01T17:09:00,2025-09-04,SE,TELEVENDAS,VAR
ORD-000027,OL-0000032,C-00485,P4,75,2025-09-01T13:02:00,2025-09-04,S,PORTAL,VAR
ORD-000028,OL-0000033,C-00490,P2,224,2025-09-01T09:58:00,2025-09-04,SE,PORTAL,VAR
ORD-000029,OL-0000034,C-00512,P1,350,2025-09-01T11:54:00,2025-09-04,NE,PORTAL,VAR
ORD-000030,OL-0000035,C-00525,P2,224,2025-09-01T13:56:00,2025-09-04,NE,PORTAL,VAR
ORD-000031,OL-0000036,C-00538,P2,112,2025-09-01T09:34:00,2025-09-04,CO,TELEVENDAS,VAR
ORD-000032,OL-0000037,C-00554,P1,175,2025-09-01T09:43:00,2025-09-04,CO,TELEVENDAS,VAR
ORD-000033,OL-0000038,C-00558,P1,175,2025-09-01T11:09:00,2025-09-04,SE,PORTAL,VAR
ORD-000034,OL-0000039,C-00659,P2,78,2025-09-01T13:54:00,2025-09-08,SE,PORTAL,ECM
ORD-000035,OL-0000040,C-00665,P1,60,2025-09-01T11:02:00,2025-09-08,NE,PORTAL,ECM
ORD-000035,OL-0000041,C-00665,P2,54,2025-09-01T11:02:00,2025-09-08,NE,PORTAL,ECM
ORD-000036,OL-0000042,C-00674,P1,96,2025-09-01T15:12:00,2025-09-08,NE,PORTAL,ECM
ORD-000037,OL-0000043,C-00677,P3,6,2025-09-01T15:55:00,2025-09-08,N,PORTAL,ECM
ORD-000038,OL-0000044,C-00681,P4,18,2025-09-01T09:45:00,2025-09-08,SE,PORTAL,ECM
ORD-000039,OL-0000045,C-00702,P1,132,2025-09-01T15:51:00,2025-09-08,SE,PORTAL,ECM
ORD-000039,OL-0000046,C-00702,P3,18,2025-09-01T15:51:00,2025-09-08,SE,PORTAL,ECM
