order_line_id,dc_id,promised_date,qty_committed,shipment_group
OL-0125079,CD-PR,2026-09-03,700,SHP-0000
OL-0125080,CD-SP,2026-09-04,700,SHP-0000
OL-0125081,CD-SP,2026-09-04,900,SHP-0000
OL-0125082,CD-PR,2026-09-03,450,SHP-0001
OL-0125083,CD-PE,2026-09-04,700,SHP-0001
OL-0125084,CD-PE,2026-09-04,450,SHP-0001
OL-0125085,CD-SP,2026-09-04,700,SHP-0002
OL-0125086,CD-SP,2026-09-04,700,SHP-0002
OL-0125087,CD-SP,2026-09-04,300,SHP-0002
OL-0125088,CD-SP,2026-09-04,700,SHP-0003
OL-0125089,CD-SP,2026-09-04,300,SHP-0003
OL-0125090,CD-SP,2026-09-04,1400,SHP-0003
OL-0125091,CD-PR,2026-09-03,700,SHP-0004
OL-0125092,CD-SP,2026-09-04,700,SHP-0004
OL-0125093,CD-SP,2026-09-04,1400,SHP-0004
OL-0125094,CD-SP,2026-09-04,300,SHP-0005
OL-0125095,CD-PE,2026-09-04,700,SHP-0005
OL-0125096,CD-SP,2026-09-04,700,SHP-0005
OL-0125097,CD-PR,2026-09-03,450,SHP-0006
OL-0125098,CD-SP,2026-09-04,450,SHP-0006
