customer_id,segment,region,sla_hours,full_order_required,penalty_pct,priority_weight,scheduled_window,size_factor
C-00001,KA,S,48,1,0.03,1,1,1.016
C-00002,KA,SE,48,1,0.03,1,1,1.171
C-00003,KA,S,48,1,0.03,1,1,2.025
C-00004,KA,NE,72,1,0.03,1,1,1.058
C-00005,KA,SE,48,1,0.03,1,1,1.019
C-00006,KA,SE,48,1,0.03,1,1,1.553
C-00007,KA,SE,48,1,0.03,1,1,1.149
C-00008,KA,S,48,1,0.03,1,1,1.636
C-00009,KA,SE,48,1,0.03,1,1,1.744
C-00010,KA,CO,72,1,0.03,1,1,1.004
C-00011,KA,CO,72,1,0.03,1,1,2.114
C-00012,KA,SE,48,1,0.03,1,1,1.111
C-00013,DIS,N,96,0,0.0,2,0,1.292
C-00014,DIS,SE,96,0,0.0,2,0,1.066
C-00015,DIS,NE,96,0,0.0,2,0,1.783
C-00016,DIS,NE,96,0,0.0,2,0,2.265
C-00017,DIS,S,96,0,0.0,2,0,9.584
C-00018,DIS,SE,96,0,0.0,2,0,1.652
C-00019,DIS,NE,96,0,0.0,2,0,1.826
C-00020,DIS,NE,96,0,0.0,2,0,1.713
C-00021,DIS,CO,96,0,0.0,2,0,1.03
C-00022,DIS,SE,96,0,0.0,2,0,1.238
C-00023,DIS,SE,96,0,0.0,2,0,1.18
C-00024,DIS,SE,96,0,0.0,2,0,1.226
C-00025,DIS,S,96,0,0.0,2,0,1.328
C-00026,DIS,SE,96,0,0.0,2,0,1.158
C-00027,DIS,SE,96,0,0.0,2,0,5.61
C-00028,DIS,S,96,0,0.0,2,0,1.799
C-00029,DIS,SE,96,0,0.0,2,0,2.262
C-00030,DIS,SE,96,0,0.0,2,0,1.347
C-00031,DIS,N,96,0,0.0,2,0,1.894
C-00032,DIS,S,96,0,0.0,2,0,2.057
C-00033,DIS,NE,96,0,0.0,2,0,2.547
C-00034,DIS,SE,96,0,0.0,2,0,1.021
C-00035,DIS,SE,96,0,0.0,2,0,1.215
C-00036,DIS,SE,96,0,0.0,2,0,5.986
C-00037,DIS,NE,96,0,0.0,2,0,1.266
C-00038,DIS,CO,96,0,0.0,2,0,1.37
C-00039,DIS,NE,96,0,0.0,2,0,1.468
C-00040,DIS,SE,96,0,0.0,2,0,1.194
C-00041,DIS,S,96,0,0.0,2,0,1.21
C-00042,DIS,S,96,0,0.0,2,0,4.161
C-00043,DIS,SE,96,0,0.0,2,0,1.167
C-00044,DIS,N,96,0,0.0,2,0,1.561
C-00045,DIS,SE,96,0,0.0,2,0,1.031
C-00046,DIS,SE,96,0,0.0,2,0,1.854
C-00047,VAR,NE,72,0,0.0,3,0,1.409
C-00048,VAR,SE,72,0,0.0,3,0,1.35
C-00049,VAR,N,72,0,0.0,3,0,1.601
C-00050,VAR,N,72,0,0.0,3,0,3.429
C-00051,VAR,SE,72,0,0.0,3,0,2.219
C-00052,VAR,CO,72,0,0.0,3,0,1.618
C-00053,VAR,SE,72,0,0.0,3,0,1.897
C-00054,VAR,SE,72,0,0.0,3,0,1.428
C-00055,VAR,S,72,0,0.0,3,0,6.834
C-00056,VAR,NE,72,0,0.0,3,0,1.211
C-00057,VAR,S,72,0,0.0,3,0,1.131
C-00058,VAR,NE,72,0,0.0,3,0,3.588
C-00059,VAR,SE,72,0,0.0,3,0,1.89
C-00060,VAR,S,72,0,0.0,3,0,1.109
C-00061,VAR,NE,72,0,0.0,3,0,1.623
C-00062,VAR,NE,72,0,0.0,3,0,1.604
C-00063,VAR,SE,72,0,0.0,3,0,1.277
C-00064,VAR,SE,72,0,0.0,3,0,5.228
C-00065,VAR,NE,72,0,0.0,3,0,3.045
C-00066,VAR,SE,72,0,0.0,3,0,1.038
C-00067,VAR,NE,72,0,0.0,3,0,6.267
C-00068,VAR,SE,72,0,0.0,3,0,1.516
C-00069,VAR,SE,72,0,0.0,3,0,2.444
C-00070,VAR,NE,72,0,0.0,3,0,1.09
C-00071,VAR,S,72,0,0.0,3,0,1.647
C-00072,VAR,SE,72,0,0.0,3,0,3.622
C-00073,VAR,SE,72,0,0.0,3,0,1.16
C-00074,VAR,S,72,0,0.0,3,0,2.266
C-00075,VAR,SE,72,0,0.0,3,0,1.263
C-00076,VAR,N,72,0,0.0,3,0,1.927
C-00077,VAR,SE,72,0,0.0,3,0,1.577
C-00078,VAR,SE,72,0,0.0,3,0,1.172
C-00079,VAR,SE,72,0,0.0,3,0,1.741
C-00080,VAR,SE,72,0,0.0,3,0,1.168
C-00081,VAR,SE,72,0,0.0,3,0,1.865
C-00082,VAR,SE,72,0,0.0,3,0,4.366
C-00083,VAR,NE,72,0,0.0,3,0,1.047
C-00084,VAR,SE,72,0,0.0,3,0,1.996
C-00085,VAR,SE,72,0,0.0,3,0,1.093
C-00086,VAR,NE,72,0,0.0,3,0,1.697
C-00087,VAR,S,72,0,0.0,3,0,2.611
C-00088,VAR,NE,72,0,0.0,3,0,1.141
C-00089,VAR,SE,72,0,0.0,3,0,1.423
C-00090,VAR,SE,72,0,0.0,3,0,1.482
C-00091,VAR,CO,72,0,0.0,3,0,2.012
C-00092,VAR,N,72,0,0.0,3,0,1.067
C-00093,VAR,SE,72,0,0.0,3,0,1.296
C-00094,VAR,NE,72,0,0.0,3,0,1.196
C-00095,VAR,SE,72,0,0.0,3,0,1.451
C-00096,VAR,SE,72,0,0.0,3,0,1.226
