order_line_id,order_id,dc_id,sku,qty_ordered,qty_shipped,ship_date,promised_date,actual_delivery_date,transit_days_actual,promise_revisions,backorder_days,on_time,in_full
OL-0000001,ORD-000001,CD-PR,P1,700,700,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000002,ORD-000002,CD-SP,P1,2100,2100,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000003,ORD-000002,CD-SP,P2,900,900,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000004,ORD-000002,CD-SP,P3,300,300,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000005,ORD-000003,CD-PE,P1,700,700,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000006,ORD-000003,CD-PE,P2,450,450,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000007,ORD-000003,CD-PE,P4,300,300,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000008,ORD-000004,CD-SP,P4,300,300,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000009,ORD-000005,CD-PR,P2,450,450,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000010,ORD-000005,CD-PR,P4,300,300,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000011,ORD-000006,CD-SP,P2,450,450,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000012,ORD-000007,CD-SP,P2,900,900,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000013,ORD-000008,CD-SP,P1,700,700,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000014,ORD-000009,CD-SP,P1,700,700,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000015,ORD-000010,CD-PE,P1,700,700,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000017,ORD-000012,CD-SP,P4,300,300,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000018,ORD-000013,CD-PR,P3,75,75,2025-09-01,2025-09-04,2025-09-02,1,0,0,1,1
OL-0000019,ORD-000014,CD-SP,P3,150,150,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000020,ORD-000015,CD-PE,P4,75,75,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000021,ORD-000016,CD-SP,P1,175,175,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000022,ORD-000017,CD-SP,P4,75,75,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
OL-0000023,ORD-000018,CD-SP,P1,175,175,2025-09-01,2025-09-05,2025-09-03,2,0,0,1,1
