dc_id,region,ship_date,transit_q50,transit_q90
CD-SP,SE,2026-08-31,2,4
CD-SP,S,2026-08-31,3,5
CD-SP,CO,2026-08-31,4,6
CD-SP,NE,2026-08-31,6,8
CD-SP,N,2026-08-31,8,10
CD-PR,SE,2026-08-31,3,5
CD-PR,S,2026-08-31,1,3
CD-PR,CO,2026-08-31,5,7
CD-PR,NE,2026-08-31,8,10
CD-PR,N,2026-08-31,10,12
CD-GO,SE,2026-08-31,3,5
CD-GO,S,2026-08-31,5,7
CD-GO,CO,2026-08-31,1,3
CD-GO,NE,2026-08-31,5,7
CD-GO,N,2026-08-31,3,5
CD-PE,SE,2026-08-31,6,8
CD-PE,S,2026-08-31,8,10
CD-PE,CO,2026-08-31,5,7
CD-PE,NE,2026-08-31,2,4
CD-PE,N,2026-08-31,4,6
CD-SP,SE,2026-09-01,2,4
CD-SP,S,2026-09-01,3,5
CD-SP,CO,2026-09-01,4,6
CD-SP,NE,2026-09-01,6,8
CD-SP,N,2026-09-01,8,10
CD-PR,SE,2026-09-01,3,5
CD-PR,S,2026-09-01,1,3
CD-PR,CO,2026-09-01,5,7
CD-PR,NE,2026-09-01,8,10
CD-PR,N,2026-09-01,10,12
CD-GO,SE,2026-09-01,3,5
CD-GO,S,2026-09-01,5,7
CD-GO,CO,2026-09-01,1,3
CD-GO,NE,2026-09-01,5,7
CD-GO,N,2026-09-01,3,5
CD-PE,SE,2026-09-01,6,8
CD-PE,S,2026-09-01,8,10
CD-PE,CO,2026-09-01,5,7
CD-PE,NE,2026-09-01,2,4
CD-PE,N,2026-09-01,4,6
CD-SP,SE,2026-09-02,2,4
CD-SP,S,2026-09-02,3,5
CD-SP,CO,2026-09-02,4,6
CD-SP,NE,2026-09-02,6,8
CD-SP,N,2026-09-02,8,10
CD-PR,SE,2026-09-02,3,5
CD-PR,S,2026-09-02,1,3
CD-PR,CO,2026-09-02,5,7
CD-PR,NE,2026-09-02,8,10
CD-PR,N,2026-09-02,10,12
CD-GO,SE,2026-09-02,3,5
CD-GO,S,2026-09-02,5,7
CD-GO,CO,2026-09-02,1,3
CD-GO,NE,2026-09-02,5,7
CD-GO,N,2026-09-02,3,5
CD-PE,SE,2026-09-02,6,8
CD-PE,S,2026-09-02,8,10
CD-PE,CO,2026-09-02,5,7
CD-PE,NE,2026-09-02,2,4
CD-PE,N,2026-09-02,4,6
