origin,dest,distance_km,transit_days,pallets_per_truck,fixed_cost,cost_per_km
PL-01,CD-SP,90,1,30,380.0,4.2
PL-01,CD-PR,480,2,30,380.0,4.2
PL-01,CD-GO,930,3,30,380.0,4.2
PL-01,CD-PE,2660,5,30,380.0,4.2
PL-02,CD-SP,1960,4,30,380.0,4.2
PL-02,CD-PR,2380,6,30,380.0,4.2
PL-02,CD-GO,1600,4,30,380.0,4.2
PL-02,CD-PE,800,1,30,380.0,4.2
CD-SP,CD-PR,410,2,30,380.0,4.2
CD-PR,CD-SP,410,2,30,380.0,4.2
CD-SP,CD-GO,930,3,30,380.0,4.2
CD-GO,CD-SP,930,3,30,380.0,4.2
CD-SP,CD-PE,2660,5,30,380.0,4.2
CD-PE,CD-SP,2660,5,30,380.0,4.2
CD-PR,CD-GO,1340,4,30,380.0,4.2
CD-GO,CD-PR,1340,4,30,380.0,4.2
CD-PR,CD-PE,3070,6,30,380.0,4.2
CD-PE,CD-PR,3070,6,30,380.0,4.2
CD-GO,CD-PE,1900,4,30,380.0,4.2
CD-PE,CD-GO,1900,4,30,380.0,4.2
