order_line_id,dc_id,promised_date,qty_committed,shipment_group
OL-0175081,CD-PR,2026-09-17,450,SHP-00000
OL-0175085,CD-SP,2026-09-18,300,SHP-00001
OL-0175079,CD-SP,2026-09-18,450,SHP-00002
OL-0175080,CD-SP,2026-09-18,300,SHP-00002
OL-0175086,CD-PR,2026-09-17,700,SHP-00003
OL-0175087,CD-PR,2026-09-17,300,SHP-00003
OL-0175088,CD-SP,2026-09-18,900,SHP-00004
OL-0175089,CD-SP,2026-09-18,300,SHP-00004
OL-0175084,CD-SP,2026-09-18,450,SHP-00005
OL-0175082,CD-PE,2026-09-18,1400,SHP-00006
OL-0175083,CD-PE,2026-09-18,450,SHP-00006
OL-0175091,CD-SP,2026-09-18,2100,SHP-00007
OL-0175090,CD-GO,2026-09-18,700,SHP-00008
OL-0175174,CD-SP,2026-09-21,700,SHP-00009
OL-0175175,CD-SP,2026-09-21,600,SHP-00009
OL-0175181,CD-SP,2026-09-21,700,SHP-00010
OL-0175182,CD-SP,2026-09-21,900,SHP-00010
OL-0175180,CD-GO,2026-09-18,300,SHP-00011
OL-0175176,CD-SP,2026-09-21,700,SHP-00012
OL-0175177,CD-SP,2026-09-21,450,SHP-00012
OL-0175172,CD-SP,2026-09-21,300,SHP-00013
OL-0175173,CD-SP,2026-09-21,300,SHP-00013
OL-0175165,CD-PR,2026-09-18,1400,SHP-00014
OL-0175166,CD-PR,2026-09-18,300,SHP-00014
OL-0175178,CD-GO,2026-09-18,700,SHP-00008
OL-0175179,CD-GO,2026-09-18,450,SHP-00008
OL-0175168,CD-PE,2026-09-22,700,SHP-00015
OL-0175169,CD-PE,2026-09-22,900,SHP-00015
OL-0175170,CD-PE,2026-09-22,300,SHP-00015
OL-0175171,CD-PE,2026-09-22,300,SHP-00015
OL-0175167,CD-PR,2026-09-21,900,SHP-00016
OL-0175282,CD-SP,2026-09-22,700,SHP-00017
OL-0175281,CD-PR,2026-09-21,300,SHP-00018
OL-0175278,CD-SP,2026-09-22,2100,SHP-00019
OL-0175279,CD-SP,2026-09-22,700,SHP-00020
OL-0175273,CD-PR,2026-09-21,700,SHP-00016
OL-0175274,CD-PR,2026-09-21,450,SHP-00016
OL-0175284,CD-GO,2026-09-21,450,SHP-00021
OL-0175285,CD-GO,2026-09-21,300,SHP-00021
OL-0175283,CD-GO,2026-09-21,700,SHP-00022
OL-0175275,CD-PE,2026-09-22,1400,SHP-00015
OL-0175276,CD-PE,2026-09-22,450,SHP-00015
OL-0175277,CD-PE,2026-09-22,600,SHP-00015
OL-0175280,CD-SP,2026-09-22,300,SHP-00023
OL-0175286,CD-SP,2026-09-22,900,SHP-00024
OL-0175271,CD-SP,2026-09-22,450,SHP-00025
OL-0175272,CD-SP,2026-09-22,600,SHP-00025
OL-0175365,CD-SP,2026-09-23,300,SHP-00026
OL-0175368,CD-PE,2026-09-23,700,SHP-00027
OL-0175369,CD-PE,2026-09-23,900,SHP-00027
OL-0175370,CD-PE,2026-09-23,300,SHP-00027
OL-0175371,CD-PE,2026-09-23,300,SHP-00027
OL-0175381,CD-GO,2026-09-22,300,SHP-00028
OL-0175366,CD-PR,2026-09-22,700,SHP-00029
OL-0175367,CD-PR,2026-09-22,900,SHP-00029
OL-0175374,CD-SP,2026-09-23,2100,SHP-00030
OL-0175375,CD-SP,2026-09-23,300,SHP-00030
OL-0175376,CD-SP,2026-09-23,500,SHP-00030
OL-0175377,CD-SP,2026-09-23,900,SHP-00031
OL-0175378,CD-PR,2026-09-22,300,SHP-00032
OL-0175379,CD-SP,2026-09-23,450,SHP-00033
OL-0175380,CD-SP,2026-09-23,300,SHP-00033
OL-0175372,CD-SP,2026-09-23,700,SHP-00034
OL-0175373,CD-SP,2026-09-23,300,SHP-00034
OL-0175364,CD-PR,2026-09-22,300,SHP-00035
OL-0175472,CD-PR,2026-09-23,1400,SHP-00036
OL-0175478,CD-GO,2026-09-23,450,SHP-00037
OL-0175470,CD-SP,2026-09-24,450,SHP-00038
OL-0175471,CD-SP,2026-09-24,500,SHP-00038
OL-0175466,CD-PR,2026-09-23,300,SHP-00039
OL-0175469,CD-SP,2026-09-24,450,SHP-00040
OL-0175467,CD-PE,2026-09-24,700,SHP-00041
OL-0175468,CD-SP,2026-09-24,300,SHP-00042
OL-0175476,CD-GO,2026-09-24,700,SHP-00043
OL-0175477,CD-GO,2026-09-24,300,SHP-00043
OL-0175473,CD-SP,2026-09-24,1400,SHP-00044
OL-0175474,CD-SP,2026-09-24,300,SHP-00044
OL-0175475,CD-SP,2026-09-24,300,SHP-00044
OL-0175555,CD-SP,2026-09-25,700,SHP-00045
OL-0175560,CD-SP,2026-09-25,450,SHP-00046
OL-0175559,CD-PR,2026-09-24,300,SHP-00047
OL-0175561,CD-GO,2026-09-24,450,SHP-00043
OL-0175544,CD-PR,2026-09-24,700,SHP-00048
OL-0175545,CD-PR,2026-09-24,450,SHP-00048
OL-0175546,CD-PR,2026-09-24,300,SHP-00048
OL-0175550,CD-PE,2026-09-25,1400,SHP-00049
OL-0175551,CD-PE,2026-09-25,900,SHP-00049
OL-0175552,CD-PE,2026-09-25,300,SHP-00049
OL-0175553,CD-PE,2026-09-25,600,SHP-00049
OL-0175554,CD-PE,2026-09-25,500,SHP-00049
OL-0175556,CD-SP,2026-09-25,900,SHP-00050
OL-0175547,CD-SP,2026-09-25,300,SHP-00051
OL-0175557,CD-SP,2026-09-25,300,SHP-00052
OL-0175558,CD-SP,2026-09-25,500,SHP-00052
OL-0175548,CD-PR,2026-09-24,700,SHP-00053
OL-0175549,CD-PR,2026-09-24,450,SHP-00053
OL-0175562,CD-SP,2026-09-28,1400,SHP-00054
OL-0175563,CD-SP,2026-09-28,300,SHP-00054
OL-0175668,CD-GO,2026-09-25,700,SHP-00055
OL-0175669,CD-GO,2026-09-25,300,SHP-00055
OL-0175658,CD-SP,2026-09-28,700,SHP-00056
OL-0175659,CD-SP,2026-09-28,600,SHP-00056
OL-0175660,CD-SP,2026-09-28,900,SHP-00056
OL-0175661,CD-PE,2026-09-28,1400,SHP-00057
OL-0175662,CD-PE,2026-09-28,450,SHP-00057
OL-0175663,CD-PE,2026-09-28,600,SHP-00057
OL-0175667,CD-SP,2026-09-28,2100,SHP-00058
OL-0175655,CD-PR,2026-09-25,700,SHP-00059
OL-0175656,CD-PR,2026-09-25,900,SHP-00059
OL-0175657,CD-PR,2026-09-25,300,SHP-00059
OL-0175666,CD-PR,2026-09-25,500,SHP-00060
OL-0175664,CD-SP,2026-09-28,450,SHP-00061
OL-0175670,CD-SP,2026-09-28,1350,SHP-00054
OL-0175665,CD-SP,2026-09-28,700,SHP-00062
OL-0175781,CD-GO,2026-09-28,700,SHP-00063
OL-0175782,CD-GO,2026-09-28,300,SHP-00063
OL-0175783,CD-GO,2026-09-28,300,SHP-00063
OL-0175773,CD-SP,2026-09-29,450,SHP-00064
OL-0175774,CD-SP,2026-09-29,300,SHP-00064
OL-0175777,CD-PR,2026-09-28,700,SHP-00065
OL-0175778,CD-PR,2026-09-28,300,SHP-00065
OL-0175775,CD-SP,2026-09-29,450,SHP-00066
