order_line_id,dc_id,promised_date,qty_committed,shipment_group
OL-0125085,CD-SP,2026-09-04,700,SHP-00000
OL-0125083,CD-PE,2026-09-04,700,SHP-00001
OL-0125084,CD-PE,2026-09-04,450,SHP-00001
OL-0125090,CD-SP,2026-09-04,1400,SHP-00002
OL-0125082,CD-PR,2026-09-03,450,SHP-00003
OL-0125080,CD-SP,2026-09-04,700,SHP-00004
OL-0125081,CD-SP,2026-09-04,900,SHP-00004
OL-0125088,CD-SP,2026-09-04,700,SHP-00005
OL-0125089,CD-SP,2026-09-04,300,SHP-00005
OL-0125087,CD-SP,2026-09-04,300,SHP-00006
OL-0125079,CD-PR,2026-09-03,700,SHP-00007
OL-0125086,CD-SP,2026-09-04,700,SHP-00008
OL-0125178,CD-SP,2026-09-08,1400,SHP-00009
OL-0125179,CD-SP,2026-09-08,450,SHP-00009
OL-0125172,CD-SP,2026-09-08,900,SHP-00010
OL-0125168,CD-PE,2026-09-08,700,SHP-00011
OL-0125169,CD-PE,2026-09-08,450,SHP-00011
OL-0125170,CD-PE,2026-09-08,300,SHP-00011
OL-0125171,CD-PE,2026-09-08,600,SHP-00011
OL-0125180,CD-GO,2026-09-04,700,SHP-00012
OL-0125181,CD-GO,2026-09-04,450,SHP-00012
OL-0125182,CD-GO,2026-09-04,300,SHP-00012
OL-0125166,CD-PR,2026-09-04,450,SHP-00013
OL-0125167,CD-PR,2026-09-04,300,SHP-00013
OL-0125164,CD-SP,2026-09-08,3500,SHP-00014
OL-0125165,CD-SP,2026-09-08,450,SHP-00014
OL-0125177,CD-PR,2026-09-04,1400,SHP-00015
OL-0125173,CD-SP,2026-09-08,2100,SHP-00016
OL-0125174,CD-GO,2026-09-09,300,SHP-00017
OL-0125183,CD-SP,2026-09-08,900,SHP-00018
OL-0125162,CD-PR,2026-09-04,450,SHP-00019
OL-0125163,CD-PR,2026-09-04,300,SHP-00019
OL-0125175,CD-SP,2026-09-09,700,SHP-00020
OL-0125176,CD-SP,2026-09-09,500,SHP-00020
OL-0125294,CD-PR,2026-09-08,1400,SHP-00021
OL-0125305,CD-GO,2026-09-08,700,SHP-00022
