order_line_id,dc_id,promised_date,qty_committed,shipment_group
OL-0175081,CD-PR,2026-09-17,450,GRP-00000
OL-0175085,CD-SP,2026-09-18,300,GRP-00001
OL-0175079,CD-SP,2026-09-18,450,GRP-00001
OL-0175080,CD-SP,2026-09-18,300,GRP-00001
OL-0175086,CD-PR,2026-09-17,700,GRP-00000
OL-0175087,CD-PR,2026-09-17,300,GRP-00000
OL-0175088,CD-SP,2026-09-18,900,GRP-00001
OL-0175089,CD-SP,2026-09-18,300,GRP-00001
OL-0175084,CD-SP,2026-09-18,450,GRP-00002
OL-0175082,CD-PE,2026-09-22,1400,GRP-00003
OL-0175083,CD-PE,2026-09-22,450,GRP-00003
OL-0175091,CD-SP,2026-09-18,2100,GRP-00002
OL-0175090,CD-GO,2026-09-21,700,GRP-00004
OL-0175174,CD-SP,2026-09-21,700,GRP-00005
OL-0175175,CD-SP,2026-09-21,600,GRP-00005
OL-0175181,CD-SP,2026-09-21,700,GRP-00005
OL-0175182,CD-SP,2026-09-21,900,GRP-00005
OL-0175180,CD-GO,2026-09-21,300,GRP-00004
OL-0175176,CD-SP,2026-09-21,700,GRP-00005
OL-0175177,CD-SP,2026-09-21,450,GRP-00005
OL-0175172,CD-SP,2026-09-21,300,GRP-00006
OL-0175173,CD-SP,2026-09-21,300,GRP-00006
OL-0175165,CD-PR,2026-09-18,1400,GRP-00007
OL-0175166,CD-PR,2026-09-18,300,GRP-00007
OL-0175178,CD-GO,2026-09-21,700,GRP-00004
OL-0175179,CD-GO,2026-09-21,450,GRP-00004
OL-0175168,CD-PE,2026-09-24,700,GRP-00008
OL-0175169,CD-PE,2026-09-24,900,GRP-00008
OL-0175170,CD-PE,2026-09-24,300,GRP-00008
OL-0175171,CD-PE,2026-09-24,300,GRP-00008
OL-0175167,CD-PR,2026-09-21,900,GRP-00009
OL-0175282,CD-SP,2026-09-22,700,GRP-00010
OL-0175281,CD-PR,2026-09-21,300,GRP-00009
OL-0175278,CD-SP,2026-09-22,2100,GRP-00010
OL-0175279,CD-SP,2026-09-22,700,GRP-00010
OL-0175273,CD-PR,2026-09-21,700,GRP-00009
OL-0175274,CD-PR,2026-09-21,450,GRP-00009
OL-0175284,CD-GO,2026-09-22,450,GRP-00011
OL-0175285,CD-GO,2026-09-22,300,GRP-00011
OL-0175283,CD-GO,2026-09-22,700,GRP-00011
OL-0175275,CD-PE,2026-09-24,1400,GRP-00008
OL-0175276,CD-PE,2026-09-24,450,GRP-00008
OL-0175277,CD-PE,2026-09-24,600,GRP-00008
OL-0175280,CD-SP,2026-09-22,300,GRP-00012
OL-0175286,CD-SP,2026-09-22,900,GRP-00012
OL-0175271,CD-SP,2026-09-22,450,GRP-00012
OL-0175272,CD-SP,2026-09-22,600,GRP-00012
OL-0175365,CD-SP,2026-09-23,300,GRP-00013
OL-0175368,CD-PE,2026-09-25,700,GRP-00014
OL-0175369,CD-PE,2026-09-25,900,GRP-00014
OL-0175370,CD-PE,2026-09-25,300,GRP-00014
OL-0175371,CD-PE,2026-09-25,300,GRP-00014
OL-0175381,CD-GO,2026-09-23,300,GRP-00015
OL-0175366,CD-PR,2026-09-22,700,GRP-00016
OL-0175367,CD-PR,2026-09-22,900,GRP-00016
OL-0175374,CD-SP,2026-09-23,2100,GRP-00013
OL-0175375,CD-SP,2026-09-23,300,GRP-00013
OL-0175376,CD-SP,2026-09-23,500,GRP-00013
OL-0175377,CD-SP,2026-09-23,900,GRP-00013
OL-0175378,CD-PR,2026-09-22,300,GRP-00016
OL-0175379,CD-SP,2026-09-23,450,GRP-00017
OL-0175380,CD-SP,2026-09-23,300,GRP-00017
OL-0175372,CD-SP,2026-09-23,700,GRP-00017
OL-0175373,CD-SP,2026-09-23,300,GRP-00017
OL-0175364,CD-PR,2026-09-22,300,GRP-00016
OL-0175472,CD-PR,2026-09-23,1400,GRP-00018
OL-0175478,CD-GO,2026-09-24,450,GRP-00019
OL-0175470,CD-SP,2026-09-24,450,GRP-00020
OL-0175471,CD-SP,2026-09-24,500,GRP-00020
OL-0175466,CD-PR,2026-09-23,300,GRP-00018
OL-0175469,CD-SP,2026-09-24,450,GRP-00020
OL-0175467,CD-PE,2026-09-28,700,GRP-00021
OL-0175468,CD-SP,2026-09-24,300,GRP-00020
OL-0175476,CD-GO,2026-09-25,700,GRP-00022
OL-0175477,CD-GO,2026-09-25,300,GRP-00022
OL-0175473,CD-SP,2026-09-24,1400,GRP-00023
OL-0175474,CD-SP,2026-09-24,300,GRP-00023
OL-0175475,CD-SP,2026-09-24,300,GRP-00023
OL-0175555,CD-SP,2026-09-25,700,GRP-00024
OL-0175560,CD-SP,2026-09-25,450,GRP-00024
OL-0175559,CD-PR,2026-09-24,300,GRP-00025
OL-0175561,CD-GO,2026-09-25,450,GRP-00022
OL-0175544,CD-PR,2026-09-24,700,GRP-00025
OL-0175545,CD-PR,2026-09-24,450,GRP-00025
OL-0175546,CD-PR,2026-09-24,300,GRP-00025
OL-0175550,CD-PE,2026-09-29,1400,GRP-00026
OL-0175551,CD-PE,2026-09-29,900,GRP-00026
