dc_id,region,ship_date,transit_q50,transit_q90
CD-SP,SE,2026-08-31,2,2
CD-SP,S,2026-08-31,3,3
CD-SP,CO,2026-08-31,4,5
CD-SP,NE,2026-08-31,6,7
CD-SP,N,2026-08-31,8,11
CD-PR,SE,2026-08-31,3,3
CD-PR,S,2026-08-31,1,2
CD-PR,CO,2026-08-31,5,6
CD-PR,NE,2026-08-31,8,10
CD-PR,N,2026-08-31,10,14
CD-GO,SE,2026-08-31,3,3
CD-GO,S,2026-08-31,5,5
CD-GO,CO,2026-08-31,1,3
CD-GO,NE,2026-08-31,5,7
CD-GO,N,2026-08-31,3,7
CD-PE,SE,2026-08-31,6,6
CD-PE,S,2026-08-31,8,8
CD-PE,CO,2026-08-31,5,6
CD-PE,NE,2026-08-31,2,4
CD-PE,N,2026-08-31,4,8
CD-SP,SE,2026-09-01,2,2
CD-SP,S,2026-09-01,3,3
CD-SP,CO,2026-09-01,4,5
CD-SP,NE,2026-09-01,6,7
CD-SP,N,2026-09-01,8,11
CD-PR,SE,2026-09-01,3,3
CD-PR,S,2026-09-01,1,2
CD-PR,CO,2026-09-01,5,6
CD-PR,NE,2026-09-01,8,10
CD-PR,N,2026-09-01,10,14
CD-GO,SE,2026-09-01,3,3
CD-GO,S,2026-09-01,5,5
CD-GO,CO,2026-09-01,1,3
CD-GO,NE,2026-09-01,5,7
CD-GO,N,2026-09-01,3,7
CD-PE,SE,2026-09-01,6,6
CD-PE,S,2026-09-01,8,8
CD-PE,CO,2026-09-01,5,6
CD-PE,NE,2026-09-01,2,4
CD-PE,N,2026-09-01,4,8
CD-SP,SE,2026-09-02,2,2
CD-SP,S,2026-09-02,3,3
CD-SP,CO,2026-09-02,4,5
CD-SP,NE,2026-09-02,6,7
CD-SP,N,2026-09-02,8,11
CD-PR,SE,2026-09-02,3,3
CD-PR,S,2026-09-02,1,2
CD-PR,CO,2026-09-02,5,6
CD-PR,NE,2026-09-02,8,10
CD-PR,N,2026-09-02,10,14
CD-GO,SE,2026-09-02,3,3
CD-GO,S,2026-09-02,5,5
CD-GO,CO,2026-09-02,1,3
CD-GO,NE,2026-09-02,5,7
CD-GO,N,2026-09-02,3,7
CD-PE,SE,2026-09-02,6,6
CD-PE,S,2026-09-02,8,8
CD-PE,CO,2026-09-02,5,6
CD-PE,NE,2026-09-02,2,4
CD-PE,N,2026-09-02,4,8
CD-SP,SE,2026-09-03,2,2
CD-SP,S,2026-09-03,3,3
CD-SP,CO,2026-09-03,4,5
CD-SP,NE,2026-09-03,6,7
CD-SP,N,2026-09-03,8,11
CD-PR,SE,2026-09-03,3,3
CD-PR,S,2026-09-03,1,2
CD-PR,CO,2026-09-03,5,6
CD-PR,NE,2026-09-03,8,10
CD-PR,N,2026-09-03,10,14
CD-GO,SE,2026-09-03,3,3
CD-GO,S,2026-09-03,5,5
CD-GO,CO,2026-09-03,1,3
CD-GO,NE,2026-09-03,5,7
CD-GO,N,2026-09-03,3,7
CD-PE,SE,2026-09-03,6,6
CD-PE,S,2026-09-03,8,8
CD-PE,CO,2026-09-03,5,6
CD-PE,NE,2026-09-03,2,4
CD-PE,N,2026-09-03,4,8
CD-SP,SE,2026-09-04,2,2
CD-SP,S,2026-09-04,3,3
CD-SP,CO,2026-09-04,4,5
CD-SP,NE,2026-09-04,6,7
CD-SP,N,2026-09-04,8,11
CD-PR,SE,2026-09-04,3,3
CD-PR,S,2026-09-04,1,2
CD-PR,CO,2026-09-04,5,6
CD-PR,NE,2026-09-04,8,10
CD-PR,N,2026-09-04,10,14
CD-GO,SE,2026-09-04,3,3
CD-GO,S,2026-09-04,5,5
CD-GO,CO,2026-09-04,1,3
CD-GO,NE,2026-09-04,5,7
CD-GO,N,2026-09-04,3,7
CD-PE,SE,2026-09-04,6,6
CD-PE,S,2026-09-04,8,8
CD-PE,CO,2026-09-04,5,6
CD-PE,NE,2026-09-04,2,4
CD-PE,N,2026-09-04,4,8
CD-SP,SE,2026-09-05,2,2
CD-SP,S,2026-09-05,3,3
CD-SP,CO,2026-09-05,4,5
CD-SP,NE,2026-09-05,6,7
CD-SP,N,2026-09-05,8,11
CD-PR,SE,2026-09-05,3,3
CD-PR,S,2026-09-05,1,2
CD-PR,CO,2026-09-05,5,6
CD-PR,NE,2026-09-05,8,10
CD-PR,N,2026-09-05,10,14
CD-GO,SE,2026-09-05,3,3
CD-GO,S,2026-09-05,5,5
CD-GO,CO,2026-09-05,1,3
CD-GO,NE,2026-09-05,5,7
CD-GO,N,2026-09-05,3,7
CD-PE,SE,2026-09-05,6,6
CD-PE,S,2026-09-05,8,8
CD-PE,CO,2026-09-05,5,6
CD-PE,NE,2026-09-05,2,4
CD-PE,N,2026-09-05,4,8
CD-SP,SE,2026-09-06,2,2
CD-SP,S,2026-09-06,3,3
CD-SP,CO,2026-09-06,4,5
CD-SP,NE,2026-09-06,6,7
CD-SP,N,2026-09-06,8,11
CD-PR,SE,2026-09-06,3,3
CD-PR,S,2026-09-06,1,2
CD-PR,CO,2026-09-06,5,6
CD-PR,NE,2026-09-06,8,10
CD-PR,N,2026-09-06,10,14
CD-GO,SE,2026-09-06,3,3
CD-GO,S,2026-09-06,5,5
CD-GO,CO,2026-09-06,1,3
CD-GO,NE,2026-09-06,5,7
CD-GO,N,2026-09-06,3,7
CD-PE,SE,2026-09-06,6,6
CD-PE,S,2026-09-06,8,8
CD-PE,CO,2026-09-06,5,6
CD-PE,NE,2026-09-06,2,4
CD-PE,N,2026-09-06,4,8
CD-SP,SE,2026-09-07,2,2
CD-SP,S,2026-09-07,3,3
CD-SP,CO,2026-09-07,4,5
CD-SP,NE,2026-09-07,6,7
CD-SP,N,2026-09-07,8,11
CD-PR,SE,2026-09-07,3,3
CD-PR,S,2026-09-07,1,2
CD-PR,CO,2026-09-07,5,6
CD-PR,NE,2026-09-07,8,10
CD-PR,N,2026-09-07,10,14
CD-GO,SE,2026-09-07,3,3
CD-GO,S,2026-09-07,5,5
CD-GO,CO,2026-09-07,1,3
CD-GO,NE,2026-09-07,5,7
CD-GO,N,2026-09-07,3,7
CD-PE,SE,2026-09-07,6,6
CD-PE,S,2026-09-07,8,8
CD-PE,CO,2026-09-07,5,6
CD-PE,NE,2026-09-07,2,4
CD-PE,N,2026-09-07,4,8
CD-SP,SE,2026-09-08,2,2
CD-SP,S,2026-09-08,3,3
CD-SP,CO,2026-09-08,4,5
CD-SP,NE,2026-09-08,6,7
CD-SP,N,2026-09-08,8,11
CD-PR,SE,2026-09-08,3,3
CD-PR,S,2026-09-08,1,2
CD-PR,CO,2026-09-08,5,6
CD-PR,NE,2026-09-08,8,10
CD-PR,N,2026-09-08,10,14
CD-GO,SE,2026-09-08,3,3
CD-GO,S,2026-09-08,5,5
CD-GO,CO,2026-09-08,1,3
CD-GO,NE,2026-09-08,5,7
CD-GO,N,2026-09-08,3,7
CD-PE,SE,2026-09-08,6,6
CD-PE,S,2026-09-08,8,8
CD-PE,CO,2026-09-08,5,6
CD-PE,NE,2026-09-08,2,4
CD-PE,N,2026-09-08,4,8
CD-SP,SE,2026-09-09,2,2
CD-SP,S,2026-09-09,3,3
CD-SP,CO,2026-09-09,4,5
CD-SP,NE,2026-09-09,6,7
CD-SP,N,2026-09-09,8,11
CD-PR,SE,2026-09-09,3,3
CD-PR,S,2026-09-09,1,2
CD-PR,CO,2026-09-09,5,6
CD-PR,NE,2026-09-09,8,10
CD-PR,N,2026-09-09,10,14
CD-GO,SE,2026-09-09,3,3
CD-GO,S,2026-09-09,5,5
CD-GO,CO,2026-09-09,1,3
CD-GO,NE,2026-09-09,5,7
CD-GO,N,2026-09-09,3,7
CD-PE,SE,2026-09-09,6,6
CD-PE,S,2026-09-09,8,8
CD-PE,CO,2026-09-09,5,6
CD-PE,NE,2026-09-09,2,4
CD-PE,N,2026-09-09,4,8
CD-SP,SE,2026-09-10,2,2
CD-SP,S,2026-09-10,3,3
CD-SP,CO,2026-09-10,4,5
CD-SP,NE,2026-09-10,6,7
CD-SP,N,2026-09-10,8,11
CD-PR,SE,2026-09-10,3,3
CD-PR,S,2026-09-10,1,2
CD-PR,CO,2026-09-10,5,6
CD-PR,NE,2026-09-10,8,10
CD-PR,N,2026-09-10,10,14
CD-GO,SE,2026-09-10,3,3
CD-GO,S,2026-09-10,5,5
CD-GO,CO,2026-09-10,1,3
CD-GO,NE,2026-09-10,5,7
CD-GO,N,2026-09-10,3,7
CD-PE,SE,2026-09-10,6,6
CD-PE,S,2026-09-10,8,8
CD-PE,CO,2026-09-10,5,6
CD-PE,NE,2026-09-10,2,4
CD-PE,N,2026-09-10,4,8
CD-SP,SE,2026-09-11,2,2
CD-SP,S,2026-09-11,3,3
CD-SP,CO,2026-09-11,4,5
CD-SP,NE,2026-09-11,6,7
CD-SP,N,2026-09-11,8,11
CD-PR,SE,2026-09-11,3,3
CD-PR,S,2026-09-11,1,2
CD-PR,CO,2026-09-11,5,6
