order_line_id,dc_id,promised_date,qty_committed,shipment_group
OL-0125085,CD-SP,2026-09-04,700,GRP-00000
OL-0125083,CD-PE,2026-09-09,700,GRP-00001
OL-0125084,CD-PE,2026-09-09,450,GRP-00001
OL-0125090,CD-SP,2026-09-04,1400,GRP-00000
OL-0125082,CD-PR,2026-09-03,450,GRP-00002
OL-0125080,CD-SP,2026-09-04,700,GRP-00000
OL-0125081,CD-SP,2026-09-04,900,GRP-00000
OL-0125088,CD-SP,2026-09-04,700,GRP-00003
OL-0125089,CD-SP,2026-09-04,300,GRP-00003
OL-0125087,CD-SP,2026-09-04,300,GRP-00003
OL-0125079,CD-PR,2026-09-03,700,GRP-00002
OL-0125086,CD-SP,2026-09-04,700,GRP-00003
OL-0125178,CD-SP,2026-09-08,1400,GRP-00004
OL-0125179,CD-SP,2026-09-08,450,GRP-00004
OL-0125172,CD-SP,2026-09-08,900,GRP-00004
OL-0125168,CD-PE,2026-09-10,700,GRP-00005
OL-0125169,CD-PE,2026-09-10,450,GRP-00005
OL-0125170,CD-PE,2026-09-10,300,GRP-00005
OL-0125171,CD-PE,2026-09-10,600,GRP-00005
OL-0125180,CD-GO,2026-09-08,700,GRP-00006
OL-0125181,CD-GO,2026-09-08,450,GRP-00006
OL-0125182,CD-GO,2026-09-08,300,GRP-00006
OL-0125166,CD-PR,2026-09-04,450,GRP-00007
OL-0125167,CD-PR,2026-09-04,300,GRP-00007
OL-0125164,CD-SP,2026-09-08,3500,GRP-00004
OL-0125165,CD-SP,2026-09-08,450,GRP-00004
OL-0125177,CD-PR,2026-09-04,1400,GRP-00007
OL-0125173,CD-SP,2026-09-08,2100,GRP-00008
OL-0125174,CD-PR,2026-09-09,300,GRP-00009
OL-0125183,CD-SP,2026-09-08,900,GRP-00008
OL-0125162,CD-PR,2026-09-04,450,GRP-00007
OL-0125163,CD-PR,2026-09-04,300,GRP-00007
OL-0125175,CD-SP,2026-09-09,700,GRP-00010
OL-0125176,CD-SP,2026-09-09,500,GRP-00010
OL-0125294,CD-PR,2026-09-08,1400,GRP-00011
OL-0125305,CD-GO,2026-09-09,700,GRP-00012
OL-0125306,CD-GO,2026-09-09,450,GRP-00012
OL-0125292,CD-SP,2026-09-09,450,GRP-00010
OL-0125293,CD-SP,2026-09-10,300,GRP-00013
OL-0125301,CD-PR,2026-09-08,300,GRP-00011
OL-0125295,CD-PE,2026-09-11,1400,GRP-00014
OL-0125296,CD-PE,2026-09-11,900,GRP-00014
OL-0125297,CD-PE,2026-09-11,300,GRP-00014
OL-0125298,CD-PE,2026-09-11,300,GRP-00014
OL-0125291,CD-PR,2026-09-08,450,GRP-00011
OL-0125302,CD-SP,2026-09-09,2800,GRP-00010
OL-0125303,CD-SP,2026-09-09,450,GRP-00010
OL-0125304,CD-SP,2026-09-09,300,GRP-00010
OL-0125299,CD-SP,2026-09-09,700,GRP-00015
OL-0125300,CD-SP,2026-09-09,300,GRP-00015
OL-0125403,CD-PE,2026-09-14,1400,GRP-00016
OL-0125404,CD-PE,2026-09-14,450,GRP-00016
OL-0125405,CD-PE,2026-09-14,600,GRP-00016
OL-0125416,CD-SP,2026-09-10,1400,GRP-00017
OL-0125411,CD-PR,2026-09-09,700,GRP-00018
OL-0125400,CD-PR,2026-09-09,450,GRP-00018
OL-0125401,CD-PR,2026-09-09,300,GRP-00018
OL-0125402,CD-PR,2026-09-10,300,GRP-00019
OL-0125409,CD-SP,2026-09-10,900,GRP-00017
OL-0125410,CD-SP,2026-09-10,500,GRP-00017
OL-0125408,CD-SP,2026-09-10,2800,GRP-00017
OL-0125406,CD-SP,2026-09-10,1350,GRP-00020
OL-0125407,CD-SP,2026-09-10,300,GRP-00020
OL-0125412,CD-GO,2026-09-10,700,GRP-00021
OL-0125413,CD-GO,2026-09-11,450,GRP-00022
OL-0125414,CD-GO,2026-09-11,300,GRP-00022
OL-0125415,CD-GO,2026-09-11,300,GRP-00022
OL-0125510,CD-PR,2026-09-10,700,GRP-00023
OL-0125511,CD-PR,2026-09-10,450,GRP-00023
OL-0125516,CD-SP,2026-09-11,1400,GRP-00024
OL-0125508,CD-SP,2026-09-11,2100,GRP-00024
OL-0125509,CD-SP,2026-09-11,300,GRP-00024
OL-0125512,CD-PE,2026-09-15,700,GRP-00025
OL-0125513,CD-PE,2026-09-15,450,GRP-00025
OL-0125514,CD-PE,2026-09-15,300,GRP-00025
OL-0125515,CD-PE,2026-09-15,300,GRP-00025
OL-0125507,CD-PR,2026-09-10,300,GRP-00023
OL-0125519,CD-GO,2026-09-11,300,GRP-00022
OL-0125517,CD-SP,2026-09-11,1350,GRP-00026
OL-0125518,CD-SP,2026-09-11,300,GRP-00026
OL-0125600,CD-PE,2026-09-16,1400,GRP-00027
OL-0125601,CD-PE,2026-09-16,900,GRP-00027
OL-0125602,CD-PE,2026-09-16,300,GRP-00027
OL-0125603,CD-PE,2026-09-16,500,GRP-00027
